disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
2057,,,,,,,,,,,20d17b6e044025ed68c80a74cd72bf88b9e78855,2023-03-18T13:22:12.883Z,a639c924-e9f4-4588-aaee-171cab7bb2fd
2058,,,,,,,,,,,134fb5ab1ef84187f391a2eee7b3b4acd7b3bc36,2023-03-18T13:22:12.883Z,f105419b-8a52-4543-9d81-34977e6c7215
2059,,,,,,,,,,,99f019bd8e80858e81fd9fdb0a8ee32d02144a29,2023-03-18T13:22:12.883Z,247dca0d-83cf-43c3-b412-92623e159a1d
2060,,,,,,,,,,,52c60252eadf2789a9a7e07f2a7784b3d24ce176,2023-03-18T13:22:12.883Z,182a834f-5af3-43c8-b947-b406bc98ad88
2061,,,,,,,,,,,0eba17bf11ccaa3d0b11a11844e3e24db803a792,2023-03-18T13:22:12.883Z,f3ae0edf-2b74-4185-b682-0a73625e0b02
2062,,,,,,,,,,,fcc91a0f1f059ad6bfdf11b6e57c2dff11f9aeb1,2023-03-18T13:22:12.883Z,a41724a3-9552-4acb-b7c8-4c75d3aa91da
2063,,,,,,,,,,,e163b93fa1470cbb19c43b5490c75087e699a37c,2023-03-18T13:22:12.883Z,3e2dcf01-5fa8-450b-9531-48e5fd4bf8f6
2064,,,,,,,,,,,b2e72132a0ac08bb325cab7cf531a7d47b1188a1,2023-03-18T13:22:12.883Z,48a0dc09-2a58-4c2c-9ac7-a09e5e1dc6f0
2065,,,,,,,,,,,6c098e5e222f36ec906412c2e09a7f517993cda3,2023-03-18T13:22:12.883Z,b9c56406-1795-4697-a22e-389075d6987a
2066,,,,,,,,,,,d9752db04eae60d269519f3a681987b93ba9201b,2023-03-18T13:22:12.883Z,374f8b19-98ee-47b2-bb62-568082e04b74
2067,,,,,,,,,,,ab71b4b26a70562a1789f4482446749a81b0ad19,2023-03-18T13:22:12.883Z,5c7256dd-fc1c-4d54-8c35-322af9dea22e
2068,,,,,,,,,,,c8193207a5efa827281b6d8b48842c5002e6de75,2023-03-18T13:22:12.883Z,21e0ff07-b45c-4217-bb2e-5421d537d32e
2069,,,,,,,,,,,6ce1a728d506591cb9b2ff75c890b56e5c5755e0,2023-03-18T13:22:12.883Z,43dc344f-e5f3-4863-9553-8fcc1db934db
2070,,,,,,,,,,,28d31938bae85570f13d863f095e04c8c99c53b3,2023-03-18T13:22:12.883Z,8a0bca06-6633-4976-bbce-c43270f72a07
1977,,,,,2702114.08,693840.84,1880111.6,2023-10-31T00:00:00.000Z,,669375,005c1eb95923d3740b7661def358445f2970f468,2023-10-31T04:23:02.791Z,957e2518-e6a8-4c20-9d61-d9470150bc52
2072,,,,,,,,,,,16a467fd984f0769fd47914e05f9deaa52074299,2023-03-18T13:22:12.883Z,243090c5-bc3c-4cb5-b48c-120ca8a10acc
4703,,,,,,,,,,0,b0bbf41e2b43de27aeb247857eb12ebfb1933a46,2023-04-11T23:03:00.808Z,55f0ab02-3492-4703-b850-4ff1ac91c1a5
1978,,,,,7041838.42,2135392.16,4865260.83,2023-10-31T00:00:00.000Z,,1186863,87279fd9477270145c1b51b6ad983fd76abad908,2023-10-31T04:23:02.791Z,ee63e3f1-883a-48b7-ae5a-ab1bbf3411aa
1847,1241,5417824.37,5010124.02,407700.35,27072334.75,5608318.67,20995181.77,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,7114907,60ec5f628cf371beea6e297c6d866d560b550233,2023-10-31T05:42:54.770Z,8f533c55-b9cb-4f2d-a812-e4d5f40a6d78
1855,7130,17693443.86,12307674.68,5385769.18,5883928.99,691116.89,4513565.65,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,4072594,cf3f20dc156d6d3fc136075652922b9c7096af78,2023-10-31T05:42:54.770Z,7b4ea4cf-1885-49fb-ad7b-bd13a91bba97
2077,,,,,,,,,,,81a9c3317f718146c9c65918f675585b8f5634df,2023-03-18T13:22:12.883Z,ff5e382c-9d49-4927-8ac6-19cba1759f17
2078,,,,,,,,,,,635cd7f402bc66f72c099c4db6dfeae29cb281b5,2023-03-18T13:22:12.883Z,83e73bde-b90d-482e-b81b-d4bf15384373
2079,,,,,,,,,,,79fd4cfc523e26d77a936771918bc750287edfa3,2023-03-18T13:22:12.883Z,62759a4c-98fc-4313-a29e-3c8a74fc0866
2110,,,,,16959,16959,,2023-10-31T00:00:00.000Z,,,eb49f4ab6b04719726ee8681c3c671a312f4625a,2023-10-31T06:42:56.884Z,ee8ef9b4-a48a-48bf-b5b8-c1c751849aab
2111,,,,,2887129,2887129,,2023-10-31T00:00:00.000Z,,,26ed3b2e085cc2188ba85f912f4c0581114ddb6a,2023-10-31T06:42:56.884Z,56abd123-6f4f-495b-97a9-5f1e9d598765
1857,927,4626437.19,4297309.99,329127.2,41582963.17,5359964.73,32175398.55,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,1007258,207bed5db4e2a41a170306f8f7e46c518e2fc978,2023-10-31T05:42:54.770Z,dee85476-7a12-472e-9150-cd5c6d69eaac
2112,,,,,3563854.01,3563854.01,,2023-10-31T00:00:00.000Z,,,47dfe0df799ce7f949da4ebeec7f5d7f6fbe9d14,2023-10-31T06:42:56.884Z,3d85d0f4-fa4e-4893-95ee-0422a4572ab4
1982,,,,,20249390.34,8967827.81,10654952.85,2023-10-31T00:00:00.000Z,,574042,4d8b2351b68cfbd9efdd0033e93b3d2138588ecb,2023-10-31T04:23:02.791Z,179653a1-68d9-43bf-9b38-db13c30d004c
1858,13331,58951222.09,51103383.71,7847838.38,78188645.56,7457302.56,69678333.25,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,27764486,02dfee1e27826d584daaaaaea029a78c75c6a07b,2023-10-31T05:42:54.770Z,099848a0-7f52-4469-8ff8-7b676de34271
1859,4429,22780503.01,18259342,4521161.01,94144289.11,33272376.92,58867918.92,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,9822639.74,9816831f23aab890208825b9989947e4da134f03,2023-10-31T05:42:54.770Z,02aae4ff-a998-487a-93ba-2ca09296febb
1893,1115,4373420.87,4052960.37,320460.5,5802632.98,685746.08,5090363.81,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,1057567,42c27aa063fd91c21d01307ec0e64d3bcb5b3404,2023-10-31T05:42:54.770Z,c5241c91-6c10-4e07-b150-ef9bacda369b
1985,,,,,3490382.1,2796925.42,581688.68,2023-10-31T00:00:00.000Z,,405892.16,6eb2b05503f21cec01cd9046eb288078dd4ffb52,2023-10-31T04:23:02.791Z,6306aa93-0474-4966-bf3f-ece0a24941f5
1986,,,,,5934923.13,94913.51,5815317.82,2023-10-31T00:00:00.000Z,,487940,a555d2398a5997a82db2bf6995d6e4cd9e853e01,2023-10-31T04:23:02.791Z,65d94b05-e27b-491f-92e9-c22139d0ab4e
1987,,,,,2926897.38,295274.53,2498291.94,2023-10-31T00:00:00.000Z,,409119,897dacd2b962530d255304238b6f3e44a64efff6,2023-10-31T04:23:02.791Z,01409f22-ff5b-406a-a7bf-9543285d2c21
2093,,,,,,,,,,,d6c9cc111bda7c6b280e22a1fd4c74e6e025a3ad,2023-03-18T13:22:12.883Z,ced35b85-c3c9-46cf-88d0-c060cb5085a7
1988,,,,,3925597.14,127571.07,3672650.08,2023-10-31T00:00:00.000Z,,476492.68,cf9ef13dcaafd17b1c897576b095fd1580ec9635,2023-10-31T04:23:02.791Z,120414ce-ebc2-4012-afcf-0d7f5834ad81
1894,14743,37132716.72,33983726.63,3148990.09,25963715.03,6402863.88,19313520.76,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,2197433,b19cd9bebee1d9ecb2d0888680f938ac85bfb97d,2023-10-31T05:42:54.770Z,0cc7ca15-9a00-429a-848d-e53f7c2f8733
2113,,,,,171329.2,171329.2,,2023-10-31T00:00:00.000Z,,,5dbd6321eec62be5010240c77363949660662026,2023-10-31T06:42:56.884Z,31aacac3-85e5-40ea-854b-98d9b6fad467
